time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-06-21T01:42:50.721Z,37.5052,137.2179,10,4.3,mb,,97,1.241,0.64,us,us7000hivv,2022-06-21T03:15:49.040Z,"55 km NNE of Nanao, Japan",earthquake,4.3,1.9,0.168,10,reviewed,us,us
2022-06-20T01:31:33.321Z,37.4635,137.3362,6.9,4.9,mww,,85,1.149,0.58,us,us7000himd,2022-06-20T21:04:40.819Z,"56 km NE of Nanao, Japan",earthquake,6,3.8,0.089,12,reviewed,us,us
2022-06-19T06:08:06.908Z,37.5146,137.345,10,5.1,mww,,90,1.186,0.7,us,us7000hihq,2022-06-20T03:00:14.077Z,"near the west coast of Honshu, Japan",earthquake,4.6,1.8,0.061,26,reviewed,us,us
2022-05-20T10:58:17.543Z,37.4769,137.3014,10,4.1,mb,,91,1.177,0.44,us,us7000hcp5,2022-06-15T15:03:48.040Z,"55 km NNE of Nanao, Japan",earthquake,5.8,1.9,0.146,13,reviewed,us,us
2022-04-18T18:49:14.523Z,36.2193,137.2108,251.33,4.2,mb,,77,0.624,0.62,us,us7000h34q,2022-05-16T16:33:42.040Z,"10 km NNW of Takayama, Japan",earthquake,8.6,5.8,0.2,7,reviewed,us,us
2022-04-08T13:04:56.676Z,37.4838,137.229,9.75,4.4,mb,,88,1.218,0.43,us,us7000h0pv,2022-06-11T20:21:15.040Z,"53 km NNE of Nanao, Japan",earthquake,5.9,3.6,0.072,55,reviewed,us,us
2022-04-04T01:26:23.745Z,37.4917,137.1864,10,4.4,mb,,88,1.246,0.71,us,us7000h0nf,2022-06-11T20:21:14.040Z,"52 km NNE of Nanao, Japan",earthquake,6.2,0.9,0.126,18,reviewed,us,us
2022-04-02T13:42:24.470Z,36.5987,137.6716,202.8,4.5,mb,,71,0.431,0.81,us,us7000h0dw,2022-06-11T20:21:10.040Z,"20 km WSW of Hakuba, Japan",earthquake,9.1,5.7,0.163,11,reviewed,us,us
2022-03-23T00:23:55.674Z,37.4502,137.312,10,4.5,mb,,88,1.151,0.8,us,us6000h6un,2022-05-28T18:35:26.040Z,"53 km NE of Nanao, Japan",earthquake,4.5,1.3,0.065,69,reviewed,us,us
2022-03-07T16:58:49.038Z,37.5263,137.2804,5.84,4.8,mww,,53,1.226,0.59,us,us6000h2s5,2022-05-14T21:52:21.040Z,"59 km NNE of Nanao, Japan",earthquake,2.6,3.5,0.066,22,reviewed,us,us
2022-01-21T12:10:40.801Z,36.5871,137.4237,228.38,4,mb,,68,0.629,0.71,us,us7000gdue,2022-04-01T17:40:24.040Z,"13 km SSE of Kamiichi, Japan",earthquake,6.4,4.7,0.092,32,reviewed,us,us
